,Ticker,Name,Market Cap,Sector,Beta
0,HCXY,Hercules Capital Inc,1762.8016835053306,Financial Services,1.34888
1,TBBK,Bancorp Inc,1173.309777917903,Banking,1.40124
2,SCXLB,L S Starrett Co,54.246238669950756,Machinery,0.78017
3,JTCPF,Jtc PLC,1022.386256,Financial Services,0.13207
4,IMPZY,Implanet SA,4.330316,Health Care,1.23121
5,ATASF,Atlantia SpA,18464.488261,Transportation Infrastructure,1.11581
6,ELCPF,EDP Energias de Portugal SA,18193.723432,Utilities,0.93773
7,STKL,Sunopta Inc,1046.4224722373467,Food Products,1.98415
8,UNRG,United Energy Corp,18.11,Chemicals,-0.35968
9,AUDVF,Audi AG,83420.0,Automobiles,0.1129
10,SBSOF,SBS Holdings Inc,121535.581284,Logistics & Transportation,0.84727
11,TPTW,TPT Global Tech Inc,7.41192340533333,Telecommunication,0.88386
12,VRXWF,MediaValet Inc,47.556586,Technology,0.4837
13,SO,Southern Co,80698.75105045002,Utilities,0.47655
14,RRX,Regal Rexnord Corp,8425.130461436687,Electrical Equipment,1.24052
15,ABNAF,Aben Resources Ltd,5.915452,Metals & Mining,1.70059
16,AKR,Acadia Realty Trust,1850.260368,Real Estate,1.33774
17,NPNVF,Valqua Ltd,50115.234417,Chemicals,1.15332
18,CVLG,Covenant Logistics Group Inc,368.2649450452765,Road & Rail,1.46988
19,MITT,AG Mortgage Investment Trust Inc,197.373045,Real Estate,1.47997
20,MOPLF,Molinos Rio de la Plata SA,23445.35,Food Products,0.85887
21,CERN,Cerner Corp,27927.554728590556,Health Care,0.76191
22,GODZF,Goldhills Holding Ltd,4.368513,Metals & Mining,1.26232
23,LVMHF,LVMH Moet Hennessy Louis Vuitton SE,301162.851474,"Textiles, Apparel & Luxury Goods",0.98611
24,MDNA,Medicenna Therapeutics Corp,65.855084,Biotechnology,0.4404
25,CCTC,Clean Coal Technologies Inc,2.08,Commercial Services & Supplies,-0.66308
26,DSITF,Currys PLC,929.717977,Retail,1.6839
27,DTZZF,Dotz Nano Ltd,136.410767,Electrical Equipment,0.57129
28,QUCCF,Quanta Computer Inc,307976.018894,Technology,0.78971
29,AVIJF,AviChina Industry & Technology Co Ltd,34084.090203,Aerospace & Defense,0.20858
30,TRXPF,Torii Pharmaceutical Co Ltd,85120.103703,Pharmaceuticals,0.64017
31,CVCY,Central Valley Community Bancorp,199.12777134800712,Banking,0.77338
32,ECMXF,Universal Copper Ltd Formerly Tasca Resources Ltd,5.351321,Metals & Mining,1.52282
33,RCAR,RenovaCare Inc,8.74,Biotechnology,1.73986
34,WHR,Whirlpool Corp,10146.212353999998,Consumer products,1.54936
35,TYNPF,Nippon Sanso Holdings Corp,1072784.6777949997,Chemicals,1.03993
36,FPPP,FieldPoint Petroleum Corp,0.0,Energy ,2.48417
37,GMRMF,Golden Rim Resources Ltd,19.776544,Metals & Mining,0.8726
38,ES,Eversource Energy,31873.636134923574,Utilities,0.42815
39,NSSXF,NS Solutions Corp,346328.279686,Technology,0.89381
40,WLDBF,WildBrain Ltd,357.346387,Media,0.95665
41,ICUI,ICU Medical Inc,4383.965920288956,Health Care,0.48416
42,VZ,Verizon Communications Inc,215693.69937182567,Telecommunication,0.40628
43,EUUNF,Azarga Metals Corp,5.220157,Metals & Mining,1.19041
44,BABA,Alibaba Group Holding Ltd,256853.62400283493,Retail,0.90694
45,CNVVY,ConvaTec Group PLC,4352.00085,Health Care,0.74459
46,GEL,Genesis Energy LP,1548.1754061744648,Energy ,2.16577
47,PYIYF,Property for Industry Ltd,1246.044969,Real Estate,0.88631
48,PSKXF,Philippine Stock Exchange Inc,15910.50602,Financial Services,0.15036
49,FNCNF,Fincantieri SpA,972.146029,Machinery,1.24338
50,GBNH,Greenbrook TMS Inc,50.913391,Health Care,1.3508
51,CRNGF,Carrianna Group Holdings Company Ltd,848.534096,"Hotels, Restaurants & Leisure",0.51562
52,KALV,Kalvista Pharmaceuticals Inc,213.28089519679634,Biotechnology,1.79636
